,heuristic,board,correlation,sample_number
524,interaction,10_medium_full,0.355942056,10
525,interaction,10_medium_pruned,0.630746318,10
526,interaction,6_easy_full,0.718264631,10
527,interaction,6_easy_pruned,0.580527467,10
528,interaction,6_hard_full,0.606184054,10
529,interaction,6_hard_pruned,0.650394166,10
530,linear,10_easy_full,0.294271787,10
531,linear,10_easy_pruned,0.522962328,10
532,linear,10_hard_full,0.568995933,10
533,linear,10_hard_pruned,0.517514012,10
534,linear,10_medium_full,0.344394718,10
535,linear,10_medium_pruned,0.296661475,10
536,linear,6_easy_full,0.452063735,10
537,linear,6_easy_pruned,0.608060629,10
538,linear,6_hard_full,0.394130402,10
539,linear,6_hard_pruned,0.592608946,10
540,non-linear,10_easy_full,0.542235493,10
541,non-linear,10_easy_pruned,0.382385655,10
542,non-linear,10_hard_full,0.438703707,10
543,non-linear,10_hard_pruned,0.453970062,10
544,non-linear,10_medium_full,0.574471734,10
545,non-linear,10_medium_pruned,0.59933754,10
546,non-linear,6_easy_full,0.871148431,10
547,non-linear,6_easy_pruned,0.617729139,10
548,non-linear,6_hard_full,0.542583157,10
549,non-linear,6_hard_pruned,0.662007714,10
550,blocking,10_easy_full,0.654550252,11
551,blocking,10_easy_pruned,0.640428629,11
552,blocking,10_hard_full,0.463452914,11
553,blocking,10_hard_pruned,0.687695112,11
554,blocking,10_medium_full,0.50083249,11
555,blocking,10_medium_pruned,0.423666299,11
556,blocking,6_easy_full,0.895842012,11
557,blocking,6_easy_pruned,0.580077564,11
558,blocking,6_hard_full,0.64044331,11
559,blocking,6_hard_pruned,0.716097228,11
560,density,10_easy_full,0.061142431,11
561,density,10_easy_pruned,0.270628509,11
562,density,10_hard_full,0.359082233,11
563,density,10_hard_pruned,0.199282543,11
564,density,10_medium_full,0.149338554,11
565,density,10_medium_pruned,0.222530192,11
566,density,6_easy_full,0.228334357,11
567,density,6_easy_pruned,0.411886433,11
568,density,6_hard_full,0.473148303,11
569,density,6_hard_pruned,0.310907223,11
570,interaction,10_easy_full,0.605434295,11
571,interaction,10_easy_pruned,0.51806891,11
572,interaction,10_hard_full,0.639638305,11
573,interaction,10_hard_pruned,0.316048649,11
574,interaction,10_medium_full,0.408426933,11
575,interaction,10_medium_pruned,0.521816805,11
576,interaction,6_easy_full,0.796976307,11
577,interaction,6_easy_pruned,0.655635902,11
578,interaction,6_hard_full,0.612314915,11
579,interaction,6_hard_pruned,0.489258484,11
580,linear,10_easy_full,0.022350899,11
581,linear,10_easy_pruned,0.620462311,11
582,linear,10_hard_full,0.515121391,11
583,linear,10_hard_pruned,0.483750662,11
584,linear,10_medium_full,0.516915654,11
585,linear,10_medium_pruned,0.384405055,11
586,linear,6_easy_full,0.682418627,11
587,linear,6_easy_pruned,0.619441108,11
588,linear,6_hard_full,0.457799056,11
589,linear,6_hard_pruned,0.536084643,11
590,non-linear,10_easy_full,0.334925658,11
